study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cushion,,0,0,0,1,,,,,0.07045289999999227,,0.01358119999999019,0.07045289999999227,0.07045289999999227,2.6315437999999887,1.015,2.590138600000003,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
chart,,0,1,1,6,,,,,2.6709146999999973,,2.6429217999999963,2.6709146999999973,2.6709146999999973,3.6040200999999854,1.015,0.9330355999999966,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
police,,0,2,2,12,,,,,3.628537300000005,,3.604526800000002,3.628537300000005,3.628537300000005,4.4666389999999865,1.015,0.832347900000002,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
marble,,0,3,3,3,,,,,4.4920252000000005,,4.467146700000001,4.4920252000000005,4.4920252000000005,5.398287499999981,1.015,0.9090313000000094,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
board,,0,4,4,4,,,,,5.428800899999999,,5.398705899999982,5.428800899999999,5.428800899999999,7.480775999999992,4.965,2.047654999999992,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
laptop,,0,5,5,5,,,,,7.501478200000008,,7.481041900000008,7.501478200000008,7.501478200000008,9.348008499999992,1.0425,1.8460799000000065,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
book,,0,6,6,0,,,,,9.367870299999993,,9.348349799999994,9.367870299999993,9.367870299999993,10.379897499999998,1.0425,1.010283500000014,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
mouse,,0,7,7,8,,,,,10.398765300000008,,10.380217399999992,10.398765300000008,10.398765300000008,11.230907599999995,1.0425,0.8286447000000123,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
phone,,0,8,8,2,,,,,11.258436899999992,,11.231241299999994,11.258436899999992,11.258436899999992,12.064687200000009,1.0425,0.8069737000000146,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
case,,0,9,9,10,,,,,12.087007499999999,,12.065141299999993,12.087007499999999,12.087007499999999,12.964290799999986,1.0425,0.8747653000000071,,,,,,,,,,,,,,,882537,001,2024-10-25_20h35.06.920,PRIYANSHI.AU2220101_PRIMING,2024.1.5,None,2024-10-25 20h35.15.502738 +0530,
